ID,中文服务,English service,CNY_base,USD_reference_7.20,Unit,Principal_hours_cap,Included_scope,包含范围,Exclusions
S01,专家决策咨询,Expert Decision Call,5000,694,per session,2,"1 question; 60-minute call; up to 30-minute pre-read; concise next steps","1问题；60分钟会议；最多30分钟预读；简明行动要点","No new research, model build or ongoing messaging"
S02,高管诊断与决策备忘录,Executive Diagnostic & Decision Memo,20000,2778,per engagement,6,"1 game/decision; up to 20 pages; 2-hour workshop; 2–4-page memo; 1 clarification round","1游戏或经营决策；最多20页；2小时讨论；2–4页备忘录；1轮澄清","No full audit, execution or financial audit"
S03,产品留存与商业化评审,"Product, Retention & Monetization Audit",50000,6944,from per project,16,"1 game; 1 market; up to 3 benchmarks; KPI baseline; FTUE/economy; prioritized fixes; 90-day roadmap","1游戏1市场；最多3对标；KPI基线；新手经济评审；90天路线图","Client data/build required; implementation separate"
S04,全球发行与市场进入冲刺,Global Publishing & GTM Sprint,80000,11111,from per project,24,"1 title; up to 2 markets; positioning; channels; launch gates; budget; partner brief","1产品最多2市场；定位渠道；上线门槛；预算与伙伴需求书","No guaranteed distribution, installs, featuring or media spend"
S05,买量与素材效能评审,UA & Creative Performance Review,40000,5556,from per project,12,"1 title; up to 2 channels/30 creatives; cohort/ROAS; creative tests; stop/scale rules","1产品最多2渠道30素材；Cohort/ROAS；测试与停投扩量规则","Read-only review; buying and production separate"
S06,经济系统与LiveOps蓝图,Economy & LiveOps Blueprint,60000,8333,from per project,20,"1 core economy; 90-day event framework; sources/sinks; offers; segments; testing workbook","1核心经济；90天活动；产消礼包分层；测试工作簿","No certified RNG/RTP math, gambling certification or full content production"
S07,组织与招聘需求校准,Organization & Hiring Calibration,20000,2778,per scope,6,"Up to 3 roles/JDs; interview rubric; decision rights; hiring sequence; manager workshop","最多3岗位JD；面试评分；分工权限；招聘顺序；负责人讨论","Not contingent recruitment; no hiring or candidate access guarantee"
S08,伙伴筛选与引荐准备,Partner Sourcing & Introduction Readiness,20000,2778,from per project,6,"1 partner category; public-source shortlist up to 10; pitch brief; permission-based coordination","1伙伴类型；公开信息短名单最多10家；合作摘要；经同意的引荐协调","Fee is for research/coordination, not sale of contacts or guaranteed deals"
S09,商业尽调与投资前产品评审,Commercial Due Diligence,80000,11111,from per project,24,"1 target/product; market and KPI quality; model; team; assumptions; risk and committee questions","1标的产品；市场指标质量；商业模式团队；假设风险与投委会问题","Not financial audit, valuation assurance, legal, tax or investment advice"
S10,战略顾问月包,Strategic Advisory Retainer,30000,4167,per month,6,"1 project; 6 hours/month across 2 calls/pre-read/async; monthly decision log; initial 3-month scope","1项目；每月6小时涵盖2次会议预读异步；月决策记录；首期3个月","No daily management, unlimited chat or execution team; hours do not roll over"
S11,90天经营合作,90-Day Operating Partner,300000,41667,from per 90 days,96,"1 title/market; up to 4 principal days/month; weekly review; KPI/WBS; release/LiveOps/UA; monthly P&L","1产品市场；每月最多4主顾问日；周经营会；KPI/WBS；版本活动买量；月P&L","Client funds execution, media, data and engineering; decision rights agreed"
S12,全球游戏经营Copilot年框,Annual Global Game Copilot,1200000,166667,from per year,384,"12 months; up to 4 principal days/month; quarterly reset; governance; measured improvement","12个月；每月最多4主顾问日；季度重置；经营治理与改善","Not full-time or all-inclusive agency; performance participation separately agreed"
S13,高管AI业务工作坊,Executive AI Workshop,38888,5401,from per half day,10,"Up to 12 participants; 3-hour live session; intake; 1 game-business AI workflow; templates","最多12人；3小时现场；课前需求；1条游戏AI流程；模板","No production integration; custom full day from CNY 60000"
S14,AI工作流试点,AI Workflow Pilot,120000,16667,from per pilot,32,"4–6 weeks; 1 workflow; up to 2 authorized sources/tools; sandbox; up to 30 evaluation cases; approvals; SOP","4–6周；1流程最多2授权源工具；沙盒；最多30评测；审批SOP交接","Delivery pod in SOW; integrations, infrastructure, licenses and production hardening separate"
S15,Web3游戏产品与经济评审,Web3 Game Product & Economy Review,50000,6944,from per project,16,"1 game; journey; wallet friction; off/on-chain economy assumptions; retention; rollout risks","1游戏；玩家路径钱包摩擦；链上链下假设；留存与落地风险","No token brokerage, investment promotion, legal opinion, contract security audit or returns guarantee"
S16,游戏经营培训或主题分享,Game Operating Masterclass / Keynote,20000,2778,from per session,6,"Up to 90 minutes; 1 business theme; audience-specific examples; checklist","最多90分钟；1业务主题；针对性案例；实践清单","Recording, distribution rights, travel and multi-day teaching separate"
NOTE,2026-09-19建议标准价,Indicative proposed GGC schedule,,,,,"CNY is base; USD references use planning 7.20 CNY/USD, NOT live FX. Prices are not market medians or retroactive invoices.","人民币为基准；美元仅规划换算；不是市场均价或历史账单。","Taxes/approved expenses extra. English OR Chinese as agreed; duplicate bilingual production separately scoped. Written SOW controls."
